task_id,source_model_path,output_model_path,estimated_cost_delta,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task005,outputs\current_6352_53_stack\overrides\task005.onnx,outputs\candidates\current_6352_53_noop_node_prune\task005_overrides_NoopNodePruned.onnx,-58,True,True,True,True,28,0.0,True,
task013,outputs\current_6352_53_stack\overrides\task013.onnx,outputs\candidates\current_6352_53_noop_node_prune\task013_overrides_NoopNodePruned.onnx,-120,True,True,True,True,29,0.0,True,
task018,outputs\current_6352_53_stack\overrides\task018.onnx,outputs\candidates\current_6352_53_noop_node_prune\task018_overrides_NoopNodePruned.onnx,-8,True,True,True,True,28,0.0,True,
task034,outputs\current_6352_53_stack\overrides\task034.onnx,outputs\candidates\current_6352_53_noop_node_prune\task034_overrides_NoopNodePruned.onnx,-240,True,True,True,True,29,0.0,True,
task054,outputs\current_6352_53_stack\overrides\task054.onnx,outputs\candidates\current_6352_53_noop_node_prune\task054_overrides_NoopNodePruned.onnx,-41,True,True,True,True,28,0.0,True,
task071,outputs\current_6352_53_stack\overrides\task071.onnx,outputs\candidates\current_6352_53_noop_node_prune\task071_overrides_NoopNodePruned.onnx,-4,True,True,True,True,27,0.0,True,
task076,outputs\current_6352_53_stack\overrides\task076.onnx,outputs\candidates\current_6352_53_noop_node_prune\task076_overrides_NoopNodePruned.onnx,-16,True,True,True,True,28,0.0,True,
task077,outputs\current_6352_53_stack\overrides\task077.onnx,outputs\candidates\current_6352_53_noop_node_prune\task077_overrides_NoopNodePruned.onnx,-65,True,True,True,True,28,0.0,True,
task101,outputs\current_6352_53_stack\overrides\task101.onnx,outputs\candidates\current_6352_53_noop_node_prune\task101_overrides_NoopNodePruned.onnx,-17,True,True,True,True,28,0.0,True,
task173,outputs\current_6352_53_stack\overrides\task173.onnx,outputs\candidates\current_6352_53_noop_node_prune\task173_overrides_NoopNodePruned.onnx,-672,True,True,True,True,28,0.0,True,
task174,outputs\current_6352_53_stack\overrides\task174.onnx,outputs\candidates\current_6352_53_noop_node_prune\task174_overrides_NoopNodePruned.onnx,-73,True,True,True,True,28,0.0,True,
task185,outputs\current_6352_53_stack\overrides\task185.onnx,outputs\candidates\current_6352_53_noop_node_prune\task185_overrides_NoopNodePruned.onnx,-363,True,True,True,True,29,0.0,True,
task191,outputs\current_6352_53_stack\overrides\task191.onnx,outputs\candidates\current_6352_53_noop_node_prune\task191_overrides_NoopNodePruned.onnx,-50,True,True,True,True,29,0.0,True,
task198,outputs\current_6352_53_stack\overrides\task198.onnx,outputs\candidates\current_6352_53_noop_node_prune\task198_overrides_NoopNodePruned.onnx,-144,True,True,True,True,28,0.0,True,
task285,outputs\current_6352_53_stack\overrides\task285.onnx,outputs\candidates\current_6352_53_noop_node_prune\task285_overrides_NoopNodePruned.onnx,-1278,True,True,True,True,28,0.0,True,
task370,outputs\current_6352_53_stack\overrides\task370.onnx,outputs\candidates\current_6352_53_noop_node_prune\task370_overrides_NoopNodePruned.onnx,-12,True,True,True,True,28,0.0,True,
