task_id,rule_name,mode,source_model,candidate_model_path,generated,evaluate_valid,labelled_passed,package_eligible,failure_reason,estimated_cost,file_size_bytes,labelled_report_path
task157,PlacementConservative,conservative,outputs\candidates\online_safe_reverts\head_extract\outputs\onnx\task157.onnx,outputs\candidates\enumeration_table_prune_b2\task157_PlacementConservative.onnx,True,True,True,True,,809080,677188,outputs\reports\task157_PlacementConservative_labelled_validation.csv
task157,PlacementMedium,medium,outputs\candidates\online_safe_reverts\head_extract\outputs\onnx\task157.onnx,outputs\candidates\enumeration_table_prune_b2\task157_PlacementMedium.onnx,True,True,True,False,,341512,302644,outputs\reports\task157_PlacementMedium_labelled_validation.csv
task157,PlacementObserved,observed,outputs\candidates\online_safe_reverts\head_extract\outputs\onnx\task157.onnx,outputs\candidates\enumeration_table_prune_b2\task157_PlacementObserved.onnx,True,True,True,False,,196352,186364,outputs\reports\task157_PlacementObserved_labelled_validation.csv
task396,RowBankPrefixConservative,conservative,outputs\onnx\task396.onnx,outputs\candidates\enumeration_table_prune_b2\task396_RowBankPrefixConservative.onnx,True,True,True,True,,110040,128748,outputs\reports\task396_RowBankPrefixConservative_labelled_validation.csv
task396,RowBankPrefixMedium,medium,outputs\onnx\task396.onnx,outputs\candidates\enumeration_table_prune_b2\task396_RowBankPrefixMedium.onnx,True,True,True,False,,105486,124688,outputs\reports\task396_RowBankPrefixMedium_labelled_validation.csv
task396,RowBankPrefixObserved,observed,outputs\onnx\task396.onnx,outputs\candidates\enumeration_table_prune_b2\task396_RowBankPrefixObserved.onnx,True,True,True,False,,100716,120440,outputs\reports\task396_RowBankPrefixObserved_labelled_validation.csv
task255,supported_prune_builder,,,,False,False,False,False,unexpected task255 row count: 452,,,
task290,RowBankPrefixConservative,conservative,outputs\onnx\task290.onnx,outputs\candidates\enumeration_table_prune_b2\task290_RowBankPrefixConservative.onnx,True,True,True,True,,35612,38476,outputs\reports\task290_RowBankPrefixConservative_labelled_validation.csv
task290,RowBankPrefixMedium,medium,outputs\onnx\task290.onnx,outputs\candidates\enumeration_table_prune_b2\task290_RowBankPrefixMedium.onnx,True,True,True,False,,35234,38138,outputs\reports\task290_RowBankPrefixMedium_labelled_validation.csv
task290,RowBankPrefixObserved,observed,outputs\onnx\task290.onnx,outputs\candidates\enumeration_table_prune_b2\task290_RowBankPrefixObserved.onnx,True,True,True,False,,34946,37882,outputs\reports\task290_RowBankPrefixObserved_labelled_validation.csv
